Player,School,POS,REC,YDS,AVG,LNG,TD
Ayir Asante,WYO,['WR'],['10'],['218'],['21.8'],['66'],['4']
Roderick Daniels Jr.,SMU,['WR'],['13'],['218'],['16.8'],['91'],['3']
Brashard Smith,MIA,['WR'],['14'],['218'],['15.6'],['54'],['2']
Amari Niblack,ALA,['TE'],['12'],['218'],['18.2'],['39'],['3']
Bru McCoy,TENN,['WR'],['17'],['217'],['12.8'],['55'],['1']
River Helms,WKU,['TE'],['14'],['217'],['15.5'],['63'],['3']
Dylan Edwards,COLO,['RB'],['23'],['217'],['9.4'],['75'],['3']
Isaac TeSlaa,ARK,['WR'],['21'],['217'],['10.3'],['36'],['1']
Billy Kemp IV,NEB,['WR'],['21'],['216'],['10.3'],['34'],['1']
Stefan Cobbs,BOIS,['WR'],['21'],['216'],['10.3'],['40'],['1']
Joseph Griffin Jr.,BC,['WR'],['17'],['216'],['12.7'],['35'],['1']
Zae Baines,TEM,['WR'],['19'],['215'],['11.3'],['32'],['0']
Bugs Mortimer,ULM,['WR'],['10'],['215'],['21.5'],['54'],['0']
Michael Harrison,COLO,['TE'],['26'],['215'],['8.3'],['21'],['4']
DJ Giddens,KSU,['RB'],['19'],['215'],['11.3'],['61'],['1']
Spencer Curtis,NEV,['WR'],['18'],['214'],['11.9'],['73'],['1']
Koby Drake,MEM,['WR'],['20'],['214'],['10.7'],['24'],['2']
Dorian Singer,USC,['WR'],['18'],['214'],['11.9'],['30'],['3']
Jairus Mack,CLT,['WR'],['11'],['213'],['19.4'],['48'],['1']
Tiaquelin Mims,USM,['DB'],['20'],['213'],['10.6'],['35'],['1']
Traeshon Holden,ORE,['WR'],['20'],['212'],['10.6'],['60'],['3']
Trey Cleveland,UNT,['WR'],['15'],['212'],['14.1'],['32'],['1']
Trayvon Rudolph,NIU,['WR'],['25'],['212'],['8.5'],['42'],['1']
Preston Fox,WVU,['WR'],['12'],['212'],['17.7'],['34'],['1']
Jaylin Lucas,IU,['RB'],['29'],['212'],['7.3'],['44'],['2']
Jordan Brown,TTU,['WR'],['15'],['211'],['14.1'],['46'],['1']
Mikey Matthews,UTAH,['WR'],['22'],['210'],['9.5'],['40'],['0']
Peter LeBlanc,UL,['WR'],['15'],['209'],['13.9'],['50'],['3']
Chamon Metayer,CIN,['TE'],['17'],['209'],['12.3'],['35'],['3']
Anthony Sambucci,WMU,['WR'],['12'],['209'],['17.4'],['64'],['4']
Caleb Coombs,MRSH,['WR'],['24'],['208'],['8.7'],['22'],['2']
Darryle Simmons,MRSH,['WR'],['20'],['207'],['10.4'],['31'],['0']
Tyler Walton,OHIO,['WR'],['22'],['207'],['9.4'],['27'],['1']
Ahmari Huggins-Bruce,LOU,['WR'],['14'],['207'],['14.8'],['55'],['2']
Theo Johnson,PSU,['TE'],['18'],['206'],['11.4'],['34'],['2']
Charles Ross,SJSU,['WR'],['17'],['205'],['12.1'],['31'],['1']
Leroy Thomas,WMU,['WR'],['22'],['205'],['9.3'],['28'],['1']
Arlis Boardingham,FLA,['TE'],['18'],['205'],['11.4'],['25'],['4']
Omarion Miller,COLO,['WR'],['8'],['205'],['25.6'],['65'],['1']
Dee Wiggins,CIN,['WR'],['15'],['204'],['13.6'],['39'],['1']
O'Mega Blake,SC,['WR'],['15'],['204'],['13.6'],['41'],['1']
Bhayshul Tuten,VT,['RB'],['20'],['204'],['10.2'],['30'],['2']
Milan Tucker,APP,['WR'],['13'],['203'],['15.6'],['69'],['1']
Money Parks,UTAH,['WR'],['15'],['203'],['13.5'],['70'],['2']
Omar Cooper Jr.,IU,['WR'],['14'],['203'],['14.5'],['35'],['1']
Cade Conley,MRSH,['TE'],['20'],['203'],['10.1'],['27'],['1']
Jayden Harrison,MRSH,['WR'],['17'],['202'],['11.9'],['29'],['1']
Dalton Stroman,APP,['WR'],['12'],['202'],['16.8'],['43'],['2']
Maliq Carr,MSU,['TE'],['19'],['201'],['10.6'],['22'],['1']
Devaughn Vele,UTAH,['WR'],['15'],['201'],['13.4'],['35'],['0']
Dae'Quan Wright,VT,['TE'],['16'],['201'],['12.6'],['33'],['0']
Harold Fannin Jr.,BGSU,['TE'],['17'],['201'],['11.8'],['36'],['2']
Landon Ransom-Goelz,RICE,['WR'],['13'],['201'],['15.5'],['44'],['2']
Melquan Stovall,ASU,['WR'],['14'],['200'],['14.3'],['34'],['0']
Braylen Walker,RICE,['WR'],['13'],['200'],['15.4'],['36'],['2']
Kevin Coleman,LOU,['WR'],['16'],['199'],['12.4'],['40'],['1']
Larry Stephens,TOL,['WR'],['17'],['199'],['11.7'],['28'],['2']
Koali Nishigaya,HAW,['WR'],['26'],['199'],['7.7'],['29'],['1']
Alex Perry,HAW,['WR'],['17'],['199'],['11.7'],['38'],['3']
De'Zhaun Stribling,OKST,['WR'],['14'],['198'],['14.1'],['30'],['1']
Fred Farrier II,UAB,['WR'],['13'],['198'],['15.2'],['67'],['0']
Senika McKie,UNLV,['WR'],['15'],['198'],['13.2'],['28'],['0']
Zachariah Branch,USC,['WR'],['16'],['197'],['12.3'],['36'],['2']
Jaylon Robinson,TCU,['WR'],['19'],['196'],['10.3'],['20'],['1']
Austin Osborne,BGSU,['WR'],['17'],['196'],['11.5'],['42'],['0']
Anthony Torres,TOL,['TE'],['12'],['196'],['16.3'],['36'],['1']
Max Klare,PUR,['TE'],['22'],['196'],['8.9'],['27'],['0']
Jordin Parker,NMSU,['WR'],['4'],['194'],['48.5'],['63'],['3']
Je'Quan Burton,FAU,['WR'],['15'],['193'],['12.9'],['39'],['2']
Ray Davis,UK,['RB'],['15'],['193'],['12.9'],['58'],['5']
Darvon Hubbard,TEM,['RB'],['19'],['193'],['10.2'],['37'],['0']
Noah Thomas,TA&M,['WR'],['14'],['193'],['13.8'],['34'],['4']
Blake Bosma,WMU,['TE'],['10'],['193'],['19.3'],['58'],['1']
AJ Barner,MICH,['TE'],['17'],['192'],['11.3'],['22'],['1']
Dylan Goffney,CSU,['WR'],['14'],['192'],['13.7'],['41'],['1']
Antonio Williams,CLEM,['WR'],['17'],['192'],['11.3'],['33'],['2']
Jadon Jackson,KSU,['WR'],['15'],['191'],['12.7'],['40'],['2']
Colin Weber,CLT,['TE'],['17'],['191'],['11.2'],['40'],['0']
Tyrin Smith,UTEP,['WR'],['19'],['191'],['10.1'],['24'],['1']
Chris Bellamy,NMSU,['WR'],['12'],['191'],['15.9'],['52'],['1']
Treyton Welch,WYO,['TE'],['19'],['190'],['10.0'],['22'],['2']
Kairee Robinson,SJSU,['RB'],['15'],['190'],['12.7'],['63'],['2']
Malique Dieudonne,WMU,['WR'],['19'],['190'],['10.0'],['39'],['0']
Xavier Townsend,UCF,['WR'],['20'],['190'],['9.5'],['32'],['2']
Nakia Watson,WSU,['RB'],['15'],['189'],['12.6'],['37'],['2']
Tre Watson,FRES,['TE'],['21'],['189'],['9.0'],['28'],['3']
Mason Taylor,LSU,['TE'],['20'],['189'],['9.4'],['22'],['1']
Alex Adams,AKR,['WR'],['22'],['188'],['8.5'],['29'],['2']
Eli Stowers,NMSU,['QB'],['18'],['188'],['10.4'],['32'],['0']
Billy Bowens,BOIS,['WR'],['12'],['186'],['15.5'],['52'],['0']
Quinton Lane,JVST,['WR'],['18'],['186'],['10.3'],['30'],['1']
Kobe Prentice,ALA,['WR'],['11'],['186'],['16.9'],['79'],['1']
Duce Robinson,USC,['WR'],['8'],['186'],['23.3'],['71'],['1']
Quali Conley,SJSU,['RB'],['15'],['185'],['12.3'],['61'],['0']
Jack Endries,CAL,['TE'],['13'],['185'],['14.2'],['30'],['1']
Donovan Edwards,MICH,['RB'],['21'],['184'],['8.8'],['33'],['0']
Rivaldo Fairweather,AUB,['TE'],['21'],['184'],['8.8'],['41'],['2']
Devin Neal,KU,['RB'],['17'],['184'],['10.8'],['59'],['1']
Skyler Bell,WIS,['WR'],['21'],['184'],['8.8'],['30'],['1']
Justin Robinson,MSST,['WR'],['14'],['184'],['13.1'],['30'],['0']
JB Mitchell III,EMU,['WR'],['19'],['184'],['9.7'],['16'],['1']
Christian Fitzpatrick,MSU,['WR'],['10'],['183'],['18.3'],['72'],['0']
Carnell Tate,OSU,['WR'],['11'],['183'],['16.6'],['55'],['1']
Ismail Mahdi,TXST,['RB'],['7'],['183'],['26.1'],['89'],['1']
Romello Brinson,SMU,['WR'],['14'],['182'],['13.0'],['43'],['1']
D.J. Washington,UNM,['WR'],['17'],['182'],['10.7'],['21'],['3']
Malikhi Miller,SJSU,['WR'],['16'],['181'],['11.3'],['19'],['0']
Bryce Damous,UAB,['TE'],['20'],['181'],['9.1'],['29'],['3']
Davis Patterson,NIU,['WR'],['14'],['180'],['12.9'],['28'],['0']
RJ Harvey,UCF,['RB'],['10'],['180'],['18.0'],['50'],['2']
Roman Hemby,MD,['RB'],['18'],['180'],['10.0'],['37'],['0']
Ollie Gordon II,OKST,['RB'],['17'],['180'],['10.6'],['50'],['1']
Isaiah Washington,RUTG,['WR'],['15'],['179'],['11.9'],['24'],['1']
Keleki Latu,NEV,['TE'],['14'],['179'],['12.8'],['30'],['0']
Torrance Burgess Jr.,UTEP,['RB'],['12'],['179'],['14.9'],['51'],['0']
Bentley Hanshaw,LIB,['TE'],['14'],['178'],['12.7'],['24'],['4']
Jimmy Calloway,LOU,['WR'],['13'],['178'],['13.7'],['34'],['0']
RJ Garcia II,KSU,['WR'],['12'],['178'],['14.8'],['44'],['1']
Rico Flores Jr.,ND,['WR'],['15'],['178'],['11.9'],['42'],['1']
Junior Sherrill,VAN,['WR'],['12'],['178'],['14.8'],['52'],['1']
Eli Heidenreich,NAVY,['RB'],['7'],['178'],['25.4'],['69'],['3']
Moliki Matavao,UCLA,['TE'],['7'],['177'],['25.3'],['35'],['1']
Nick Cenacle,HAW,['WR'],['16'],['177'],['11.1'],['52'],['1']
Dylan Wright,TCU,['WR'],['10'],['176'],['17.6'],['36'],['2']
Marcus Washington,NEB,['WR'],['8'],['176'],['22.0'],['56'],['0']
Jayden Gibson,OU,['WR'],['7'],['176'],['25.1'],['41'],['2']
Dariyan Wiley,ULM,['WR'],['12'],['175'],['14.6'],['45'],['1']
Thomas Fidone II,NEB,['TE'],['15'],['175'],['11.7'],['29'],['3']
Jawhar Jordan,LOU,['RB'],['10'],['174'],['17.4'],['75'],['1']
Jared Wiley,TCU,['TE'],['22'],['174'],['7.9'],['21'],['4']
Abdul-Fatai Ibrahim,BGSU,['WR'],['16'],['174'],['10.9'],['33'],['2']
Gino Campiotti,MASS,['TE'],['13'],['173'],['13.3'],['21'],['1']
Boobie Curry,BUFF,['WR'],['19'],['173'],['9.1'],['29'],['1']
Samario Rudolph,UAB,['WR'],['20'],['173'],['8.6'],['18'],['1']
Troy Stellato,CLEM,['WR'],['18'],['173'],['9.6'],['18'],['1']
Daniel Jackson,ISU,['WR'],['11'],['173'],['15.7'],['39'],['2']
Jonathon Brooks,TEX,['RB'],['18'],['172'],['9.6'],['37'],['1']
Mudia Reuben,STAN,['WR'],['13'],['172'],['13.2'],['38'],['0']
Randy Pittman,UCF,['TE'],['12'],['172'],['14.3'],['39'],['1']
Terrell Timmons Jr.,NCSU,['WR'],['9'],['172'],['19.1'],['47'],['0']
Andrew Erickson,UNM,['WR'],['12'],['171'],['14.3'],['52'],['1']
Julian Fleming,OSU,['WR'],['17'],['171'],['10.1'],['37'],['0']
Sean Brown,JVST,['TE'],['13'],['171'],['13.2'],['31'],['2']
Al'vonte Woodard,SHSU,['WR'],['15'],['169'],['11.3'],['26'],['2']
Colby Bowman,USU,['WR'],['7'],['169'],['24.1'],['63'],['2']
Trevor Wilson,KU,['WR'],['9'],['169'],['18.8'],['58'],['2']
Drew Donley,TXST,['WR'],['11'],['169'],['15.4'],['42'],['1']
Phoenix Sproles,JMU,['WR'],['21'],['168'],['8.0'],['19'],['2']
Jake Johnson,TA&M,['TE'],['18'],['167'],['9.3'],['22'],['2']
Kyre Duplessis,CCU,['WR'],['11'],['167'],['15.2'],['64'],['1']
Benjamin Brahmer,ISU,['TE'],['14'],['167'],['11.9'],['36'],['2']
Duece Jones,UNM,['WR'],['7'],['166'],['23.7'],['78'],['1']
Jaden Greathouse,ND,['WR'],['12'],['166'],['13.8'],['35'],['3']
Harvey Broussard,UL,['WR'],['14'],['166'],['11.9'],['36'],['1']
Key'Shawn Smith,SMU,['WR'],['9'],['164'],['18.2'],['43'],['2']
Tobias Merriweather,ND,['WR'],['8'],['164'],['20.5'],['75'],['1']
Montana Lemonious-Craig,ARIZ,['WR'],['17'],['164'],['9.6'],['39'],['1']
Stephon Johnson,HOU,['WR'],['13'],['164'],['12.6'],['49'],['2']
Makai Jackson,APP,['WR'],['9'],['164'],['18.2'],['67'],['0']
Neal Johnson,UL,['TE'],['15'],['163'],['10.9'],['32'],['1']
Carlos Hernandez,WSU,['WR'],['20'],['162'],['8.1'],['19'],['0']
Jack Westover,WASH,['TE'],['17'],['161'],['9.5'],['21'],['4']
Josiah Norwood,UCLA,['WR'],['10'],['161'],['16.1'],['81'],['2']
John Gentry,SHSU,['RB'],['19'],['161'],['8.5'],['56'],['1']
Kahleil Jackson,FLA,['WR'],['12'],['161'],['13.4'],['45'],['1']
Harrison Wallace III,PSU,['WR'],['15'],['161'],['10.7'],['21'],['0']
Isiah Paige,ODU,['WR'],['16'],['161'],['10.1'],['25'],['0']
Ron Cook Jr.,BUFF,['RB'],['20'],['160'],['8.0'],['26'],['1']
John Jackson III,NEV,['WR'],['19'],['160'],['8.4'],['33'],['0']
Oscar Delp,UGA,['TE'],['13'],['160'],['12.3'],['41'],['2']
Zach Horton,JMU,['TE'],['10'],['160'],['16.0'],['66'],['2']
Kendall Karr,CCU,['TE'],['13'],['158'],['12.2'],['32'],['3']
DJ England-Chisolm,MTSU,['WR'],['17'],['158'],['9.3'],['36'],['1']
Bryce Kennon,CLT,['TE'],['12'],['158'],['13.2'],['36'],['1']
Jaden Williams,BC,['WR'],['7'],['158'],['22.6'],['47'],['1']
Isaiah Jones,SYR,['WR'],['8'],['157'],['19.6'],['44'],['2']
Javon Antonio,COLO,['WR'],['12'],['157'],['13.1'],['43'],['2']
LeQuint Allen,SYR,['RB'],['23'],['157'],['6.8'],['26'],['1']
Duane Thomas Jr.,CLT,['WR'],['14'],['157'],['11.2'],['51'],['0']
Larry McCammon,FAU,['RB'],['18'],['156'],['8.7'],['55'],['0']
Jacari Carter,GAST,['WR'],['22'],['156'],['7.1'],['23'],['0']
Tip Reiman,ILL,['TE'],['14'],['156'],['11.1'],['42'],['2']
Ahmarean Brown,SC,['WR'],['15'],['155'],['10.3'],['44'],['0']
Jimmy Holiday,WKU,['WR'],['12'],['155'],['12.9'],['38'],['1']
Caleb McMillan,MRSH,['WR'],['8'],['154'],['19.3'],['75'],['1']
Jesiah Irish,ORST,['WR'],['8'],['154'],['19.3'],['38'],['1']
Tauskie Dove,MEM,['WR'],['7'],['154'],['22.0'],['54'],['1']
DeMarcus Harris,MRSH,['WR'],['12'],['154'],['12.8'],['36'],['1']
Daejon Reynolds,PITT,['WR'],['11'],['154'],['14.0'],['31'],['0']
Jonah Panoke,HAW,['WR'],['13'],['154'],['11.8'],['24'],['1']
Zavion Thomas,MSST,['WR'],['12'],['154'],['12.8'],['22'],['0']
Oscar Cardenas,UTSA,['TE'],['17'],['153'],['9.0'],['28'],['0']
Nik McMillan,BUFF,['WR'],['10'],['153'],['15.3'],['33'],['1']
Luke Floriea,KENT,['WR'],['14'],['152'],['10.9'],['43'],['2']
Lake McRee,USC,['TE'],['15'],['152'],['10.1'],['31'],['1']
Lincoln Sefcik,USA,['TE'],['16'],['152'],['9.5'],['24'],['1']
Braydon Bennett,CCU,['RB'],['14'],['151'],['10.8'],['63'],['0']
Brandon Chatman,NAVY,['RB'],['9'],['151'],['16.8'],['58'],['0']
Reagan Ealy,ARST,['WR'],['14'],['150'],['10.7'],['33'],['1']
Will Kacmarek,OHIO,['TE'],['15'],['150'],['10.0'],['26'],['2']
Christian Wells,MASS,['WR'],['9'],['149'],['16.6'],['68'],['1']
A.J. Henning,NU,['WR'],['20'],['149'],['7.4'],['32'],['2']
Holden Staes,ND,['TE'],['10'],['149'],['14.9'],['40'],['4']
Kaelon Black,JMU,['RB'],['17'],['149'],['8.8'],['34'],['3']
Broc Lane,USU,['TE'],['16'],['148'],['9.3'],['27'],['0']
Carsen Ryan,UCLA,['RB'],['8'],['148'],['18.5'],['45'],['2']
Greg Desrosiers Jr.,MASS,['RB'],['12'],['148'],['12.3'],['40'],['2']
Jahdae Walker,TA&M,['WR'],['9'],['148'],['16.4'],['37'],['1']
Octavian Smith Jr.,MD,['WR'],['13'],['147'],['11.3'],['31'],['1']
Jjay Mcafee,GASO,['TE'],['19'],['147'],['7.7'],['25'],['1']
Jacoby Jones,OHIO,['WR'],['8'],['147'],['18.4'],['42'],['0']
Star Thomas,NMSU,['RB'],['15'],['147'],['9.8'],['21'],['1']
Dino Tomlin,BC,['WR'],['8'],['146'],['18.3'],['52'],['0']
Marcus Carroll,GAST,['RB'],['13'],['146'],['11.2'],['49'],['0']
Michael Jackson III,USC,['WR'],['17'],['146'],['8.6'],['16'],['1']
Blake Daniels,EMU,['TE'],['12'],['146'],['12.2'],['37'],['0']
Bradley Rozner,NCSU,['WR'],['14'],['145'],['10.4'],['21'],['2']
Kam Brown,UCLA,['WR'],['11'],['145'],['13.2'],['67'],['1']
Quincy Skinner Jr.,VAN,['WR'],['13'],['145'],['11.2'],['34'],['1']
Jameel Gardner Jr.,KENT,['WR'],['15'],['145'],['9.7'],['40'],['0']
Josh Cuevas,WASH,['TE'],['3'],['145'],['48.3'],['57'],['1']
Elijah Smoot,LIB,['WR'],['7'],['145'],['20.7'],['42'],['2']
Moussa Barry,WKU,['WR'],['9'],['145'],['16.1'],['51'],['1']
Moochie Dixon,SMU,['WR'],['12'],['144'],['12.0'],['20'],['0']
Sahmir Hagans,DUKE,['WR'],['17'],['144'],['8.5'],['19'],['0']
Rasheen Ali,MRSH,['RB'],['15'],['144'],['9.6'],['65'],['1']
Javon Tracy,M-OH,['WR'],['10'],['144'],['14.4'],['27'],['2']
Charles Robertson,UL,['WR'],['10'],['144'],['14.4'],['43'],['0']
Sione Vaki,UTAH,['S'],['6'],['144'],['24.0'],['53'],['2']
Keaton Upshaw,GASO,['TE'],['13'],['143'],['11.0'],['27'],['2']
Jaedon Wilson,ARK,['WR'],['10'],['143'],['14.3'],['65'],['1']
EJ Horton,WVU,['WR'],['5'],['143'],['28.6'],['45'],['1']
Ahmarian Granger,ODU,['WR'],['9'],['143'],['15.9'],['40'],['1']
Finn Hogan,BGSU,['WR'],['10'],['143'],['14.3'],['50'],['1']
Dalton Carnes,HOU,['WR'],['12'],['143'],['11.9'],['41'],['1']
Lawrance Toafili,FSU,['RB'],['16'],['142'],['8.9'],['41'],['1']
Zack Dobson,MTSU,['WR'],['14'],['141'],['10.1'],['72'],['1']
John Copenhaver,UNC,['TE'],['8'],['141'],['17.6'],['40'],['2']
Mason Pierce,MRSH,['WR'],['14'],['141'],['10.1'],['23'],['0']
Aaron Bedgood,LIB,['WR'],['11'],['140'],['12.7'],['29'],['1']
Kimani Vidal,TROY,['RB'],['10'],['140'],['14.0'],['44'],['1']
Tyler Warren,PSU,['TE'],['17'],['140'],['8.2'],['15'],['5']
John Adams,TEM,['WR'],['13'],['139'],['10.7'],['31'],['2']
Kamari Morales,UNC,['TE'],['8'],['139'],['17.4'],['55'],['0']
Bryce Farrell,STAN,['WR'],['15'],['139'],['9.3'],['26'],['1']
Jo'Quavious Marks,MSST,['RB'],['18'],['138'],['7.7'],['32'],['1']
Eli Wilson,APP,['TE'],['15'],['138'],['9.2'],['32'],['2']
Chuck Montgomery,MRSH,['WR'],['12'],['138'],['11.5'],['19'],['1']
Jeremy Tate Jr.,MTSU,['WR'],['10'],['137'],['13.7'],['40'],['1']
Blair Conwright,UNT,['WR'],['10'],['137'],['13.7'],['43'],['0']
Griffin Moore,ILL,['TE'],['9'],['137'],['15.2'],['46'],['1']
Jordan Dingle,UK,['TE'],['7'],['137'],['19.6'],['59'],['0']
Yulkeith Brown,TULN,['WR'],['12'],['137'],['11.4'],['34'],['0']
Trent Pennix,NCSU,['TE'],['11'],['136'],['12.4'],['62'],['2']
McCallan Castles,TENN,['TE'],['11'],['136'],['12.4'],['43'],['2']
Julian Gray,NCSU,['WR'],['12'],['136'],['11.3'],['64'],['0']
DJ Thomas-Jones,USA,['TE'],['11'],['136'],['12.4'],['33'],['0']
Joseph Himon II,NU,['RB'],['9'],['136'],['15.1'],['85'],['1']
Tru Edwards,LT,['WR'],['11'],['136'],['12.4'],['25'],['1']
Drae McCray,TTU,['WR'],['17'],['136'],['8.0'],['31'],['0']
Coy Eakin,TTU,['WR'],['10'],['135'],['13.5'],['43'],['1']
Ian Strong,RUTG,['WR'],['10'],['135'],['13.5'],['27'],['2']
Miles Marshall,M-OH,['WR'],['9'],['134'],['14.9'],['38'],['0']
Jaden Alexis,USF,['WR'],['11'],['134'],['12.2'],['40'],['0']
Alex Bullock,NEB,['WR'],['8'],['134'],['16.8'],['34'],['1']
Isaac Guerendo,LOU,['RB'],['12'],['133'],['11.1'],['25'],['0']
Munir McClain,UTAH,['WR'],['4'],['133'],['33.3'],['49'],['0']
Cameron Hite,WAKE,['TE'],['9'],['133'],['14.8'],['69'],['2']
Ty Washington,ARK,['TE'],['9'],['133'],['14.8'],['34'],['2']
Caleb Douglas,FLA,['WR'],['11'],['133'],['12.1'],['34'],['1']
Michael Wiley,ARIZ,['RB'],['15'],['132'],['8.8'],['27'],['0']
Ryan Davis,UNM,['WR'],['9'],['132'],['14.7'],['41'],['1']
Chase Curtis,TCU,['TE'],['15'],['132'],['8.8'],['36'],['1']
John Michael Gyllenborg,WYO,['TE'],['11'],['132'],['12.0'],['25'],['1']
Dante Cephas,PSU,['WR'],['9'],['131'],['14.6'],['26'],['0']
Luke Lachey,IOWA,['TE'],['10'],['131'],['13.1'],['35'],['0']
Gunnar Helm,TEX,['TE'],['9'],['131'],['14.6'],['25'],['1']
K.D. Hutchinson,WKU,['WR'],['17'],['131'],['7.7'],['35'],['0']
Christion Carter,NIU,['TE'],['9'],['130'],['14.4'],['32'],['2']
Moose Muhammad III,TA&M,['WR'],['14'],['130'],['9.3'],['31'],['1']
NyNy Davis,ULM,['WR'],['14'],['130'],['9.3'],['51'],['1']
Marquez Cooper,BALL,['RB'],['13'],['129'],['9.9'],['26'],['0']
Adam Jones,ARST,['WR'],['6'],['129'],['21.5'],['55'],['1']
Cooper Mathers,WSU,['TE'],['8'],['129'],['16.1'],['39'],['0']
Emmanual Stevenson,ARST,['TE'],['17'],['129'],['7.6'],['17'],['2']
Kyle Ford,UCLA,['WR'],['10'],['128'],['12.8'],['37'],['0']
Montrell Johnson Jr.,FLA,['RB'],['18'],['128'],['7.1'],['19'],['1']
Semaj Morgan,MICH,['WR'],['10'],['128'],['12.8'],['35'],['2']
Michael Pettway,JVST,['WR'],['11'],['127'],['11.5'],['37'],['1']
Parker Kingston,BYU,['WR'],['8'],['127'],['15.9'],['42'],['1']
Major Everhart,TCU,['WR'],['12'],['126'],['10.5'],['22'],['0']
Alred Luke,ULM,['WR'],['10'],['126'],['12.6'],['36'],['0']
Porter Rooks,NCSU,['WR'],['10'],['125'],['12.5'],['24'],['0']
Diante Vines,IOWA,['WR'],['10'],['125'],['12.5'],['36'],['1']
Caden Prieskorn,MISS,['TE'],['6'],['125'],['20.8'],['35'],['0']
Jalen Walthall,HAW,['WR'],['10'],['125'],['12.5'],['38'],['1']
TJ Banks,AKR,['TE'],['17'],['124'],['7.3'],['21'],['1']
Tar'Varish Dawson,COLO,['WR'],['14'],['124'],['8.9'],['30'],['1']
Jayce Brown,KSU,['WR'],['6'],['124'],['20.7'],['43'],['1']
Chris Hilton Jr.,LSU,['WR'],['7'],['123'],['17.6'],['47'],['1']
Sackett Wood Jr.,UVA,['TE'],['7'],['123'],['17.6'],['28'],['0']
Jamal Haynes,GT,['RB'],['13'],['122'],['9.4'],['46'],['0']
Jordan Smart,UNT,['WR'],['15'],['122'],['8.1'],['25'],['0']
Tsion Nunnally,WSU,['WR'],['3'],['121'],['40.3'],['72'],['1']
Jalen Buckley,WMU,['RB'],['12'],['121'],['10.1'],['49'],['0']
Eddie Lewis,SC,['WR'],['9'],['120'],['13.3'],['46'],['0']
Joseph Scates,MEM,['WR'],['12'],['120'],['10.0'],['45'],['3']
Garrett Miller,PUR,['TE'],['13'],['120'],['9.2'],['28'],['1']
Shawn Harris Jr.,MASS,['WR'],['13'],['120'],['9.2'],['19'],['0']
Mason Tharp,TTU,['TE'],['11'],['120'],['10.9'],['28'],['2']
Mekhi Mews,UGA,['WR'],['10'],['120'],['12.0'],['54'],['1']
Landon Sides,UNT,['WR'],['13'],['120'],['9.2'],['39'],['1']
Shane Calhoun,ECU,['TE'],['15'],['119'],['7.9'],['17'],['2']
CJ Dippre,ALA,['TE'],['6'],['119'],['19.8'],['45'],['0']
Blue Smith,WKU,['WR'],['10'],['118'],['11.8'],['21'],['1']
Keanu Hill,BYU,['WR'],['10'],['118'],['11.8'],['25'],['1']
Nolan Quinlan,ULM,['TE'],['10'],['117'],['11.7'],['41'],['0']
Monroe Young,CAL,['WR'],['11'],['117'],['10.6'],['34'],['0']
Omarion Hampton,UNC,['RB'],['11'],['117'],['10.6'],['19'],['1']
Nicholas Singleton,PSU,['RB'],['14'],['117'],['8.4'],['19'],['1']
Dan Villari,SYR,['TE'],['12'],['116'],['9.7'],['37'],['1']
Benji Gosnell,VT,['TE'],['9'],['116'],['12.9'],['23'],['0']
Kobie Campbell,RICE,['WR'],['5'],['115'],['23.0'],['70'],['1']
T.J. Jones,UAB,['WR'],['10'],['115'],['11.5'],['34'],['1']
Tyler Foster,OHIO,['TE'],['10'],['115'],['11.5'],['50'],['0']
Kobe Pace,UVA,['RB'],['10'],['114'],['11.4'],['75'],['2']
Braylin Presley,TLSA,['RB'],['8'],['114'],['14.3'],['32'],['0']
Elijah Sohn,SHSU,['TE'],['9'],['114'],['12.7'],['28'],['1']
Jordan Smith,TEM,['TE'],['11'],['113'],['10.3'],['20'],['1']
Jaden Nixon,OKST,['RB'],['10'],['113'],['11.3'],['60'],['1']
Marlion Jackson,LT,['WR'],['8'],['113'],['14.1'],['28'],['0']
Kyron Hudson,USC,['WR'],['9'],['112'],['12.4'],['20'],['1']
Davion Ervin-Poindexter,WKU,['RB'],['13'],['112'],['8.6'],['18'],['1']
Keelan Marion,BYU,['WR'],['7'],['112'],['16.0'],['37'],['0']
Adam Randall,CLEM,['WR'],['8'],['112'],['14.0'],['34'],['0']
Jaiden Credle,MTSU,['RB'],['16'],['112'],['7.0'],['17'],['1']
Nate Jones,LT,['TE'],['13'],['112'],['8.6'],['33'],['0']
Nico Ragaini,IOWA,['WR'],['14'],['111'],['7.9'],['29'],['0']
Josiah Miamen,FIU,['TE'],['9'],['111'],['12.3'],['38'],['0']
Devin Price,FAU,['WR'],['6'],['111'],['18.5'],['34'],['1']
Chandler Pittman,USM,['RB'],['13'],['111'],['8.5'],['31'],['0']
Bryce Childress,NMSU,['WR'],['3'],['111'],['37.0'],['75'],['1']
Ty Robinson,BALL,['WR'],['6'],['111'],['18.5'],['27'],['1']
Kyle Morlock,FSU,['TE'],['11'],['111'],['10.1'],['29'],['0']
Jack Bech,TCU,['WR'],['10'],['110'],['11.0'],['26'],['0']
Luke Wysong,UNM,['WR'],['7'],['110'],['15.7'],['41'],['1']
DeQuece Carter,IU,['WR'],['10'],['109'],['10.9'],['26'],['0']
Isaiah Horton,MIA,['WR'],['6'],['109'],['18.2'],['52'],['1']
C.J. Williams,WIS,['WR'],['11'],['109'],['9.9'],['20'],['0']
