Player,School,POS,ATT,YDS,AVG,LNG,TD
John Lee Eldridge III,AFA,['RB'],['38'],['351'],['9.2'],['65'],['4']
Garrett Greene,WVU,['QB'],['61'],['349'],['5.7'],['35'],['5']
Justice Ellison,WAKE,['RB'],['76'],['348'],['4.6'],['29'],['0']
O'Shaan Allison,OHIO,['RB'],['104'],['346'],['3.3'],['30'],['1']
Jaxson Dart,MISS,['QB'],['77'],['346'],['4.5'],['68'],['6']
Dillon Johnson,WASH,['RB'],['69'],['346'],['5.0'],['45'],['5']
Braydon Bennett,CCU,['RB'],['72'],['344'],['4.8'],['21'],['4']
Kyron Drones,VT,['QB'],['91'],['344'],['3.8'],['40'],['4']
Kentrel Bullock,USA,['RB'],['68'],['343'],['5.0'],['34'],['3']
Kiael Kelly,BALL,['QB'],['65'],['343'],['5.3'],['42'],['2']
Isaiah Woullard,ULM,['RB'],['68'],['341'],['5.0'],['44'],['1']
Riley Leonard,DUKE,['QB'],['48'],['339'],['7.1'],['44'],['4']
Roydell Williams,ALA,['RB'],['67'],['339'],['5.1'],['48'],['1']
Zion Webb,JVST,['QB'],['62'],['335'],['5.4'],['61'],['2']
OJ Arnold,GASO,['RB'],['50'],['330'],['6.6'],['39'],['3']
Kaden Feagin,ILL,['RB'],['67'],['329'],['4.9'],['25'],['2']
Ulysses Bentley IV,MISS,['RB'],['54'],['327'],['6.1'],['43'],['3']
Donavyn Lester,UNLV,['RB'],['58'],['325'],['5.6'],['66'],['7']
Elijah Gilliam,FRES,['RB'],['81'],['325'],['4.0'],['24'],['4']
Hunter Smith,ULM,['RB'],['49'],['322'],['6.6'],['62'],['3']
Cam Porter,NU,['RB'],['83'],['319'],['3.8'],['25'],['1']
Jai'Den Thomas,UNLV,['RB'],['67'],['319'],['4.8'],['46'],['7']
Jacquez Stuart,TOL,['RB'],['58'],['316'],['5.4'],['24'],['2']
Zahir Abdus-Salaam,WMU,['RB'],['84'],['316'],['3.8'],['19'],['5']
Owen Burk,AFA,['RB'],['50'],['314'],['6.3'],['39'],['3']
Mike Washington,BUFF,['RB'],['74'],['312'],['4.2'],['49'],['2']
Jarquez Hunter,AUB,['RB'],['72'],['309'],['4.3'],['53'],['5']
Marcus Major,OU,['RB'],['78'],['308'],['3.9'],['19'],['1']
Chez Mellusi,WIS,['RB'],['51'],['307'],['6.0'],['89'],['4']
Jaylen Thomas,KENT,['RB'],['80'],['305'],['3.8'],['34'],['1']
Anthony Grant,NEB,['RB'],['70'],['302'],['4.3'],['34'],['3']
Perris Jones,UVA,['RB'],['55'],['302'],['5.5'],['43'],['2']
Luke Altmyer,ILL,['QB'],['83'],['301'],['3.6'],['72'],['3']
Dylan Sampson,TENN,['RB'],['49'],['301'],['6.1'],['44'],['6']
Dean Connors,RICE,['RB'],['50'],['300'],['6.0'],['54'],['4']
